label,h,n,beta_lo,beta_hi,wald_lo,wald_hi,wilson_lo,wilson_hi,p_ge_80,p_ge_60
full,248,300,0.7808,0.8663,0.7838,0.8695,0.7798,0.8653,0.877,1.0
small,7,8,0.5463,0.9862,0.6458,1.1042,0.5291,0.9776,0.6732,0.9519
