sim,control_mode,comms_level,n_blue,n_red,success,success_rate,time_to_objective,t_obj_success,blue_losses,red_losses,blue_survivors,arrived,blue_loss_frac,red_loss_frac,loss_exchange,mission_time,detection_coverage,n_repeats,seed
sim-000001,supervisory,0,2,2,0.7133333333333334,0.7133333333333334,1159.31,901.8364485981308,0.9266666666666666,0.74,1.0733333333333333,0.7133333333333334,0.4633333333333333,0.37,0.7183333333333334,779.28,0.5347502715587324,300,342
sim-000002,supervisory,0,3,3,0.48333333333333334,0.48333333333333334,1369.6,909.5172413793103,1.5566666666666666,1.0433333333333332,1.4433333333333334,1.28,0.518888888888889,0.3477777777777778,0.8911111111111111,1103.57,0.4571956910254649,300,642
sim-000003,supervisory,0,4,4,0.58,0.58,1284.98,912.0344827586207,2.1933333333333334,1.3866666666666667,1.8066666666666666,1.4066666666666667,0.5483333333333333,0.3466666666666667,0.9891666666666666,1060.0366666666666,0.4805559564270239,300,942
sim-000004,supervisory,0,5,5,0.38333333333333336,0.38333333333333336,1462.7166666666667,920.1304347826087,2.8366666666666664,1.8233333333333333,2.1633333333333336,1.8733333333333333,0.5673333333333332,0.36466666666666675,1.1326666666666667,1286.44,0.4261241280498155,300,1242
sim-000005,supervisory,0,6,6,0.4166666666666667,0.4166666666666667,1434.6333333333334,923.12,3.92,2.0366666666666666,2.08,1.7366666666666666,0.6533333333333333,0.33944444444444444,0.8441666666666666,1127.1,0.46896162145390385,300,1542
sim-000006,supervisory,0,8,8,0.30666666666666664,0.30666666666666664,1534.2833333333333,933.5326086956521,5.4,2.84,2.6,2.2466666666666666,0.675,0.355,0.8954484126984128,1302.5466666666666,0.4304691479840538,300,1842
sim-000007,supervisory,1,2,2,0.7766666666666666,0.7766666666666666,1102.33,901.7124463519314,0.8266666666666667,0.73,1.1733333333333333,0.7766666666666666,0.41333333333333333,0.365,0.7133333333333334,804.4833333333333,0.5319757748948636,300,2142
sim-000008,supervisory,1,3,3,0.4633333333333333,0.4633333333333333,1387.6233333333332,909.9784172661871,1.59,0.97,1.41,1.2466666666666666,0.53,0.3233333333333333,0.8022222222222223,1104.4066666666668,0.456855396414385,300,2442
sim-000009,supervisory,1,4,4,0.5833333333333334,0.5833333333333334,1282.5433333333333,912.9314285714286,2.2066666666666666,1.3966666666666667,1.7933333333333332,1.4133333333333333,0.5516666666666666,0.3491666666666667,0.9686111111111112,1063.31,0.4820379368252954,300,2742
sim-000010,supervisory,1,5,5,0.36666666666666664,0.36666666666666664,1477.2066666666667,919.6545454545454,3.0233333333333334,1.72,1.9766666666666666,1.71,0.6046666666666667,0.34400000000000003,1.0631111111111111,1212.0666666666666,0.44680325105134805,300,3042
